step,type,amount,Amount Category,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
359,PAYMENT,15892.85,Medium,C2107252237,,0,M1173122568,0,0,0
646,TRANSFER,6468916.64,High,C192639055,6468916.64,0,C63453823,0,0,1
460,CASH_OUT,1424002.7,Medium,C9486206,,0,C2094181723,11407.5,1435410.19,1
217,TRANSFER,81216.23,Medium,C1904718336,-18038420.04,0,C364331020,0,,1
131,CASH_OUT,142040.02,Medium,C2124780874,0,0,C1116830769,197277.77,339317.78,0
404,CASH_OUT,136831.24,Medium,C384497568,0,0,C1376788271,689939,826770.25,0
318,TRANSFER,247455.25,Medium,C2126511572,247455.25,0,C1932237865,0,0,1
15,CASH_OUT,318728.64,Medium,C384237714,0,0,C264137089,872911.65,1015533.74,0
95,CASH_OUT,3492056.91,High,C477303142,3492056.91,0,C779119558,793803.18,4285860.09,1
253,TRANSFER,1317718.03,Medium,C126991272,20455,0,C289628062,355967.69,1673685.72,0
672,,21332.46,Medium,C899485739,21332.46,0,C1469356710,0,0,1
136,CASH_OUT,184166.32,Medium,C1488679109,0,0,C1249360501,420445.9,604612.22,0
393,TRANSFER,2069370.72,Medium,C91936659,82212,0,C986404949,0,2069370.72,0
322,CASH_OUT,199003.32,Medium,C2021137565,0,0,C2109678345,392287.94,591291.26,0
393,PAYMENT,14316.26,Medium,C228125722,0,0,M787124450,0,0,0
154,TRANSFER,814413.32,Medium,C1814844932,0,0,C702129643,2419921.64,3234334.96,0
188,TRANSFER,141165.9,Medium,C737480060,10375,0,C945587222,0,141165.9,0
400,TRANSFER,1191669.35,Medium,C2039894074,1191669.35,,C2014043913,0,0,1
130,CASH_IN,504318.7,Medium,C153414056,48324,552642.7,C1610232990,0,0,0
349,CASH_OUT,13252.01,Medium,C1137439034,0,0,C1641698981,1545653.56,1558905.56,0
651,TRANSFER,595558.89,Medium,C554735206,595558.89,0,C1403855588,0,,1
255,CASH_IN,211434.04,Medium,C2121189531,15573,227007.04,C2098413729,1805246.86,1593812.82,0
36,PAYMENT,13833.73,Medium,C329635365,0,0,M918335963,0,0,0
134,CASH_OUT,236998.12,Medium,C1871331327,35109,0,C1994837109,0,236998.12,0
6,CASH_OUT,10565,Medium,C1191732945,,0,C418964192,36275,24380.72,1
25,CASH_OUT,217231,Medium,C1847744332,217231,0,C1181708889,,7453902.1,1
216,CASH_IN,4589.6,Medium,C1072478294,2495241.21,2499830.81,C1843625910,253855.47,249265.86,0
138,TRANSFER,1168773.47,Medium,C148488241,0,0,C531511436,1670997.82,2839771.3,0
704,TRANSFER,339152.24,Medium,C354542931,339152.24,,C144148136,0,0,1
262,CASH_OUT,,,C2138906763,1589763.63,0,C717398565,835115.25,2424878.87,1
306,CASH_OUT,10000000,High,C1577276514,10000000,0,C1370100102,295862.46,10295862.46,1
229,TRANSFER,38580.45,Medium,C715571167,38580.45,0,C650699445,0,0,1
347,CASH_OUT,312366.81,Medium,C1698834993,21804,,C1438801386,525793.35,838160.16,0
393,TRANSFER,290198.92,Medium,C1884412313,290198.92,0,C1709832944,0,0,1
217,TRANSFER,13266.93,Medium,C652385555,13266.93,0,C1385664788,0,0,1
346,CASH_OUT,516355.22,Medium,C600529356,516355.22,0,C213193804,146473.93,662829.14,1
372,PAYMENT,4967.42,Medium,C513620843,20322,15354.58,M1859611493,,0,0
280,TRANSFER,14561,Medium,C866382558,0,0,C746011746,82565.72,97126.72,0
69,TRANSFER,19776.71,Medium,C1567288795,19776.71,0,C1978402788,0,0,1
234,CASH_OUT,161441.9,Medium,C1927020334,79405,0,C528597834,1717896.94,1879338.84,0
275,TRANSFER,10339516.78897634,High,C1448180572,2607790.58,0,C669935594,0,0,1
157,CASH_OUT,180362.48,Medium,C2105625974,0,0,C1521668510,406386.36,586748.83,0
619,CASH_OUT,945131.71,Medium,C1366832046,945131.71,0,C1275965910,0,945131.71,1
619,TRANSFER,418971,Medium,C857807998,418971,0,C1174958725,0,0,1
403,TRANSFER,975027.02,Medium,C881845811,302577,0,C1317208822,190724.41,1165751.44,0
10,CASH_IN,86118.97,Medium,C1769902632,442968,529086.97,C2010664081,179243.2,0,0
182,CASH_OUT,1486052.97,Medium,C738179255,1486052.97,0,C867957105,775543.29,2261596.26,1
179,TRANSFER,146085.29,Medium,C1735484974,0,0,C1701116785,345829.29,491914.58,0
186,CASH_IN,1477.28,Low,C1567237624,1971664.3,1973141.58,C1479608231,62010.06,60532.78,0
95,TRANSFER,3492056.91,High,C1323299934,,0,C105333987,0,0,1
384,PAYMENT,56600.14,Medium,C695985095,44012.07,0,M305940021,,0,0
137,CASH_IN,,,C1382966452,2022597.46,2448760.89,C1460821548,1601972.32,1175808.9,0
23,TRANSFER,295521.63,Medium,C2137418761,174124,0,C542888545,5589928.84,5885450.47,0
140,CASH_OUT,6783.47,Medium,C87316274,6783.47,0,C1051603827,88745.55,,1
282,TRANSFER,140523.4,Medium,C730675323,140523.4,0,C160013718,0,0,1
157,PAYMENT,15756.55,Medium,C2110005037,0,0,M1815717717,0,0,0
538,CASH_OUT,75959.29,Medium,C1302930387,0,0,C1442599721,1178337.73,1254297.02,0
408,PAYMENT,2318.67,Low,C1494742788,,,M1185789011,0,0,0
403,PAYMENT,9789.02,Medium,C371338603,2544.39,0,M278700422,0,0,0
244,TRANSFER,2468740.94,Medium,C1794935564,2468740.94,0,C1234144009,0,,1
304,CASH_OUT,21385.1,Medium,C1859734388,0,0,C1736318393,1342692.64,1364077.73,0
374,CASH_OUT,96692.82,Medium,C294249667,11011,0,C1805567787,1423765.01,1520457.83,0
95,TRANSFER,87999.25,Medium,C927181710,87999.25,0,C757947873,0,,1
374,CASH_IN,113812.57,Medium,C1101231130,7180699.22,7294511.79,C460462812,321879.98,208067.41,0
661,TRANSFER,343289.09,Medium,C628784680,0,0,C2081296996,871044.13,,0
684,TRANSFER,537025.01,Medium,C1744276151,537025.01,0,C38221870,0,0,1
446,CASH_OUT,311487.14,Medium,C171655471,311487.14,0,C73957643,753508.71,1064995.85,1
656,TRANSFER,46291.81,Medium,C1608445918,46291.81,0,C797035468,0,0,1
188,CASH_IN,104832,Medium,C752800835,3236,108068,C957522268,1113342.96,1008510.96,0
145,PAYMENT,4211.31,Medium,C832617967,0,0,M1509393432,0,0,0
255,CASH_IN,255904.52,Medium,C853094204,9037814.05,,C95841053,1020810.54,764906.02,0
19,CASH_IN,312203.85,Medium,C1758889055,20040,332243.85,C329325511,668555.81,275976.31,0
38,CASH_OUT,214577.62,Medium,C1559572771,0,0,C923508179,8535332.4,8872909.59,0
419,CASH_OUT,,,C907941485,3118811.65,0,C1511253622,1163983.03,4282794.68,1
396,PAYMENT,1793.99,Low,C172167493,,0,M1716069570,0,0,0
158,PAYMENT,13467.86,Medium,C438590060,,0,M1621304375,0,-20309074.74,0
278,PAYMENT,21918.7,Medium,C1710334824,0,0,M1006419646,0,0,0
305,TRANSFER,1566096.13,Medium,C489069132,0,0,C1202306289,10204071.34,11770167.47,0
352,CASH_IN,219772.44,Medium,C224753831,25231,245003.44,C2086307594,93906.76,0,0
601,TRANSFER,98099.07,Medium,C1586252817,98099.07,0,C423322656,0,0,1
279,CASH_OUT,223685.21,Medium,C1556639312,0,0,C785329380,3453482.36,,0
257,PAYMENT,14860.92,Medium,C1734568255,0,0,M879259344,0,0,0
530,TRANSFER,148680.12,Medium,C1687894218,148680.12,,C943795253,0,0,1
421,CASH_OUT,1501341.87,Medium,C466100700,1501341.87,0,C552512951,0,1501341.87,1
186,TRANSFER,20364,Medium,C1715235345,20364,0,C1801554498,0,0,1
137,PAYMENT,3055.18,Low,C374658039,0,0,M905014867,0,0,0
132,PAYMENT,10068.29,Medium,C849573475,0,0,M374094054,0,0,0
451,CASH_OUT,92226.32,Medium,C1974982963,21806,0,C802080551,985033.28,1077259.6,0
279,CASH_OUT,1854.25,Low,C962083439,0,0,C321110092,364313.71,366167.96,0
165,CASH_IN,28038.73,Medium,C228954810,10352,38390.73,C1269513709,0,,0
363,TRANSFER,6513531.58,High,C875187668,6513531.58,0,C1712764754,0,0,1
661,PAYMENT,10577.25,Medium,C1132698150,0,,M682362550,0,0,0
294,TRANSFER,7809301.98,High,C2147008654,7809301.98,0,C722948959,0,0,1
741,CASH_OUT,10000000,High,C1647199421,10000000,0,C2077145577,35922.97,10035922.97,1
189,CASH_OUT,177638.93,Medium,C145349981,0,0,C1013752838,2187940.68,2365579.61,0
379,TRANSFER,17216.14,Medium,C1500954135,17216.14,0,C1753438531,0,0,1
376,CASH_IN,20986.32,Medium,C157418340,8299069.41,8320055.73,C766772489,51269.31,30282.99,0
132,TRANSFER,1400472.01,Medium,C926121167,1400472.01,0,C516391420,0,0,1
68,CASH_OUT,374178.28,Medium,C712970778,374178.28,0,C44247024,616364.57,990542.85,1
397,CASH_OUT,387408.11,Medium,C180844213,387408.11,0,C2083128008,187203.74,574611.85,1
37,PAYMENT,11381.77,Medium,C1859822867,86535.74,75153.97,M1631568164,0,0,0
159,CASH_OUT,416832.9,Medium,C650153052,416832.9,0,C304864645,1460326.73,1877159.62,1
139,CASH_OUT,252922.5,Medium,C2070627425,0,0,C1881349500,311714.23,564636.73,0
232,,740929.84,Medium,C616196865,0,0,C202097863,1454915.66,2195845.49,0
332,TRANSFER,75270.69,Medium,C1896391579,5055,0,C2043072698,281715.91,356986.61,0
292,CASH_OUT,38513.19,Medium,C1225154585,38513.19,0,C1049265108,90999.78,129512.97,1
259,PAYMENT,,,C138845114,102201.74,92963.47,M1144022275,0,0,0
482,CASH_OUT,296186.51,Medium,C306373969,296186.51,0,C1858951589,668223.65,964410.16,1
231,CASH_IN,27474.29,Medium,C1019876221,692711.92,720186.21,C2085595670,292568.35,265094.06,0
15,PAYMENT,21732.01,Medium,C1974383303,0,0,M107988831,0,,0
382,PAYMENT,5588.75,Medium,C171842949,10969,5380.25,M190464217,0,0,0
212,CASH_IN,5322.18,Medium,C396172982,918,6240.18,C847129874,302368.16,297045.98,0
178,PAYMENT,16894.61,Medium,C769874854,0,0,M465291845,0,0,0
397,CASH_IN,198012.2,Medium,C247818089,4861640.75,5059652.94,C1849338519,3006332.06,2808319.87,0
463,CASH_OUT,1968008.53,Medium,C1471437030,1968008.53,0,C765536045,615855,2583863.54,1
42,PAYMENT,6364.64,Medium,C672210586,0,0,M201822916,0,,0
394,CASH_OUT,193165.18,Medium,C2102384957,356,0,C1228807343,0,,0
380,CASH_IN,97383.57,Medium,C626751435,7102726.88,7200110.45,C858455926,428010.49,330626.91,0
603,TRANSFER,4099382.36,High,C371063342,4099382.36,0,C1426227397,0,0,1
718,CASH_OUT,10000000,High,C1049094143,10000000,0,C1023840891,2517892.18,12517892.18,1
157,CASH_OUT,119721.3,Medium,C1518569776,0,0,C1548842939,1364756.69,1484477.99,0
156,CASH_OUT,805319.81,Medium,C1597187760,805319.81,0,C1975329762,0,805319.81,1
312,TRANSFER,2130961.69,Medium,C1069254989,0,0,C339552836,,5226772.46,0
45,TRANSFER,353373.85,Medium,C1704766176,20446,0,C678806779,232042.73,585416.57,0
46,PAYMENT,10283.14,Medium,C1360205958,22426,12142.86,M1608864651,0,0,0
44,TRANSFER,,,C1819568647,44571.94,0,C258309243,0,0,1
530,CASH_OUT,148680.12,Medium,C547292617,148680.12,0,C1499118681,0,148680.12,1
694,TRANSFER,6204.71,Medium,C2113148842,6204.71,0,C1485457980,0,0,1
236,CASH_OUT,199240.05,Medium,C1992881768,667,0,C186794240,0,199240.05,0
131,TRANSFER,53340.45,Medium,C778841349,53340.45,0,C512420448,0,0,1
248,TRANSFER,26776.98,Medium,C1235100433,26776.98,0,C224481932,0,0,1
258,TRANSFER,628199.92,Medium,C440800749,0,0,C872958755,2168485.8,2796685.72,0
392,TRANSFER,251832.96,Medium,C1019966301,251832.96,0,C483110811,,0,1
501,CASH_OUT,161024.8,Medium,C2000710297,161024.8,0,C1602054456,570881.26,731906.06,1
296,TRANSFER,282272.93,Medium,C922219750,282272.93,0,C1107412386,0,0,1
332,PAYMENT,16621.61,Medium,C1048981920,0,0,M2057862155,0,0,0
201,PAYMENT,6077.94,Medium,C1851653178,707,0,M1181292716,0,0,0
374,CASH_OUT,346865.91,Medium,C674367096,106104,0,C1423555295,0,346865.91,0
302,PAYMENT,5034.87,Medium,C386398406,13178,8143.13,M676651332,0,0,0
119,PAYMENT,6882.22,Medium,C2139435329,428,0,M583696918,0,0,0
323,CASH_OUT,53300.15,Medium,C26263758,0,0,C605899287,,387759.63,0
691,CASH_IN,12296.17,Medium,C1860376133,7753048.61,7765344.78,C1538188299,1978178.02,1965881.86,0
173,CASH_OUT,2232667.51,Medium,C441260218,2232667.51,0,C1543135091,205027.36,2437694.87,1
695,CASH_IN,,,C1229242963,9410,196380.55,C426948504,294623.19,,0
581,TRANSFER,2562459.56,Medium,C2033083147,2562459.56,0,C320568622,0,0,1
540,CASH_OUT,6438.76,Medium,C2100066281,8069,1630.24,C188647802,,577795.79,0
51,TRANSFER,115881.21,Medium,C836452372,115881.21,0,C1661320351,0,0,1
544,PAYMENT,10129.61,Medium,C239961471,24459,14329.39,M460719893,0,0,0
225,CASH_OUT,476321.8,Medium,C563555461,476321.8,0,C1283170862,0,476321.8,1
183,TRANSFER,91295.86,Medium,C306411045,20326,0,C1567572054,,221651.75,0
718,TRANSFER,1293595.52,Medium,C411007033,1293595.52,0,C1470544838,0,0,1
12,CASH_OUT,320043.64,Medium,C1598210457,61057,0,C654996410,4633873.39,5217109.99,0
355,CASH_OUT,17838.13,Medium,C1882934160,39756,21917.87,C1168483431,,440873.34,0
237,CASH_OUT,162941.41,Medium,C2057703055,350798.07,187856.66,C1140645747,4280840.82,4443782.23,0
207,CASH_OUT,292816.89,Medium,C246035196,169534.5,,C2146896333,872512.36,1165329.26,0
47,TRANSFER,243028.65,Medium,C1664257559,243028.65,0,C1658994093,0,0,1
345,TRANSFER,116940.32,Medium,C1197962253,116940.32,0,C119628721,0,0,1
132,CASH_OUT,36792.82,Medium,C1319193464,0,0,C253020529,339917.73,376710.55,0
307,CASH_OUT,407301.12,Medium,C702109784,0,0,C2001472991,25429410.47,25836711.6,0
94,CASH_OUT,84927.25,Medium,C1159793523,188048.42,103121.17,C1470054305,278678.27,363605.52,0
680,CASH_OUT,227668.22,Medium,C838079737,227668.22,0,C971866524,53722.04,281390.26,1
379,TRANSFER,2983996.6,Medium,C491418989,2983996.6,0,C2053136767,0,0,1
180,CASH_OUT,162910.99,Medium,C1371953362,34279,16878483.96034769,C1172901239,48517.9,211428.89,0
178,PAYMENT,8083.21,Medium,C1423715893,,0,M1538702490,0,0,0
324,CASH_OUT,22548.09,Medium,C475636144,0,0,C1470389651,450279.65,472827.75,0
621,TRANSFER,3582885.46,High,C541955381,3582885.46,0,C212885805,0,0,1
370,CASH_OUT,127645.34,Medium,C404241369,93009,0,C1702868825,140647.94,268293.27,0
205,CASH_IN,,,C1172050429,5591,208998.3,C1169148646,449127.4,245720.1,0
478,CASH_OUT,2254718.25,Medium,C1472018335,2254718.25,0,C1247462330,123702.38,2378420.62,1
255,PAYMENT,960.82,Low,C229685285,0,0,M251980662,0,0,0
328,CASH_OUT,112094.42,Medium,C109162027,0,0,C674068232,3631866.84,3743961.26,0
250,CASH_OUT,24725.14,Medium,C2053785256,0,0,C1986335083,4633910.94,4658636.08,0
249,CASH_OUT,3138.25,Low,C550487166,3138.25,0,C156487696,249297.18,252435.43,1
273,CASH_OUT,601494.61,Medium,C1113436018,601494.61,,C1251576610,0,601494.61,1
279,TRANSFER,33785599.39,High,C1587463343,0,0,C1472140329,54814455.37,113007240.3,0
16,PAYMENT,34851.76,Medium,C1056815845,0,0,M485785064,0,0,0
65,CASH_OUT,215.83,Low,C1831520820,215.83,,C331175512,3563442.24,3563658.07,1
522,CASH_IN,79591.12,Medium,C988169311,122633.86,202224.98,C335332271,,96624.76,0
17,CASH_OUT,187609.01,Medium,C577796818,0,0,C1271612900,1865018.8,,0
154,TRANSFER,3424092.39,High,C1468687617,3424092.39,0,C387457266,0,0,1
304,CASH_IN,69420.64,Medium,C130227415,3380417.89,3449838.53,C553402091,6772256.03,6702835.39,0
15,CASH_OUT,118207.49,Medium,C760244165,704694.82,586487.34,C1818730877,247884.12,366091.61,0
702,CASH_OUT,0,Low,C1461113533,0,0,C1382150537,107777.02,,1
478,TRANSFER,2254718.25,Medium,C1119251343,2254718.25,0,C1394440708,0,0,1
181,TRANSFER,52555.13,Medium,C1566650606,0,0,C1211782348,183738.34,236293.47,0
379,CASH_OUT,49848.97,Medium,C1770528304,0,0,C1015216625,1734400.47,1784249.44,0
325,PAYMENT,29529.32,Medium,C1438116767,20572,0,M1730245951,0,0,0
284,CASH_OUT,164502.06,Medium,C776645949,164502.06,0,C1837471455,252850.62,417352.68,1
161,CASH_OUT,85087.05,Medium,C1321788339,20274,0,C1099653597,0,85087.05,0
469,TRANSFER,10000000,High,C1519426085,16484526.8,6484526.8,C1185086386,0,0,1
13,TRANSFER,622750.72,Medium,C1027184698,0,0,C334261928,2439004.9,3061755.63,0
476,TRANSFER,37394.15,Medium,C883298030,37394.15,0,C441954287,0,0,1
359,PAYMENT,14078.56,Medium,C1654639434,0,0,M1706698732,0,0,0
566,TRANSFER,2202575.1,Medium,C1229686156,2202575.1,0,C1752604611,0,0,1
140,TRANSFER,363102.56,Medium,C222737642,319,0,C26579418,0,363102.56,0
34,CASH_OUT,39746.87,Medium,C998825597,0,0,C753151063,422258.04,1078583.74,0
16,DEBIT,50.09,Low,C1431587885,0,0,C1467188364,777224,,0
186,PAYMENT,1562.53,Low,C2119762269,15805,14242.47,M1893079393,0,0,0
41,PAYMENT,11666.54,Medium,C920696530,399212.42,387545.88,M1527191748,0,0,0
163,PAYMENT,14528.18,Medium,C541995985,224,0,M1802547421,0,0,0
287,TRANSFER,491847.47,Medium,C1042812790,491847.47,0,C610496257,0,0,1
263,PAYMENT,5571.48,Medium,C31432861,87476,81904.52,M1410281146,0,22764126.57717535,0
44,CASH_IN,229108.11,Medium,C233119618,2148161.11,2377269.22,C1728161101,1166084.97,936976.86,0
378,CASH_IN,43623.57,Medium,C1555314181,14655294.16,14698917.73,C981830037,1501290.56,1457666.99,0
257,TRANSFER,,,C1632129790,6262505.91,0,C1449704632,0,0,1
143,PAYMENT,8795.13,Medium,C971650891,169595.68,160800.55,M85352331,0,0,0
584,CASH_OUT,597806.2,Medium,C743026974,597806.2,0,C1575584182,,597806.2,1
154,CASH_OUT,92360.47,Medium,C286573966,0,0,C348423391,432493.66,785979.54,0
164,PAYMENT,6532.43,Medium,C866477940,81732,75199.57,M1297907548,0,0,0
357,TRANSFER,2239461.29,Medium,C972148639,2239461.29,,C1247043439,0,0,1
400,PAYMENT,50939.06,Medium,C1537879791,33132,0,M642593646,0,0,0
137,TRANSFER,3116833.75,High,C965340171,3116833.75,0,C863634081,0,0,1
408,PAYMENT,2332,Low,C1769397272,100462,98130,M743220631,0,0,0
623,CASH_OUT,58050.78,Medium,C1057925060,58050.78,0,C151767337,0,58050.78,1
359,CASH_OUT,7428844.46,High,C2052842135,7428844.46,0,C1331351284,0,7428844.46,1
328,CASH_OUT,199442.6,Medium,C551534501,0,0,C430666180,262339.76,461782.36,0
204,CASH_OUT,190845.55,Medium,C95969167,0,0,C1296457841,736213.43,927058.99,0
21,CASH_IN,202143.01,Medium,C1113242379,333360,535503.01,C1412312032,230728.2,,0
465,TRANSFER,44946.2,Medium,C1504640849,44946.2,0,C1013931672,0,0,1
37,PAYMENT,8574.81,Medium,C1497385665,,0,M2123879884,0,0,0
230,CASH_OUT,40611.22,Medium,C1617773163,0,0,C478307499,0,40611.22,1
480,TRANSFER,644781.76,Medium,C1053760019,644781.76,0,C902583523,0,0,1
38,CASH_IN,55359.55,Medium,C383779628,7722797.62,7778157.18,C517760747,112629.23,57269.68,0
326,PAYMENT,3454.53,Medium,C2040881349,4795,1340.47,M105054040,0,0,0
371,CASH_OUT,11630.38,Medium,C778960214,11630.38,0,C816129508,36945.1,48575.48,1
348,CASH_IN,60153.43,Medium,C1036667180,10549,70702.43,C1332208078,3196573.7,3136420.27,0
690,CASH_OUT,193592.06,Medium,C1029371622,0,0,C326487022,457948.52,651540.57,0
263,,332983.04,Medium,C1220988197,0,0,C276390957,1057125.16,1390108.2,0
111,TRANSFER,1129884.18,Medium,C211453570,1129884.18,0,C1975305951,0,0,1
205,PAYMENT,30041.16,Medium,C1849421760,0,0,M676988898,0,0,0
323,CASH_OUT,279144.64,Medium,C299504436,0,0,C956274072,802789.81,1081934.45,0
383,CASH_OUT,150406.91,Medium,C911775110,,0,C1959198865,1903051.04,2053457.95,1
186,PAYMENT,1044.37,Low,C7433660,28154.09,27109.72,M908693166,0,0,0
435,TRANSFER,1143937.73,Medium,C206561987,1143937.73,,C1495554758,0,0,1
510,TRANSFER,3425386.69,High,C1737336360,3425386.69,0,C328014311,0,0,1
211,PAYMENT,16398.41,Medium,C294947702,138527.94,122129.53,M1009666306,0,0,0
58,TRANSFER,3156421.43,High,C1609180237,3156421.43,0,C1443408255,0,0,1
202,CASH_IN,416799.97,Medium,C588823603,25139837.09,25556637.05,C920861361,711353.6,294553.64,0
495,TRANSFER,197943.1,Medium,C1143038776,197943.1,0,C742185953,,0,1
326,TRANSFER,15177.97,Medium,C1421733222,15177.97,0,C1718960484,0,0,1
13,CASH_OUT,203282.47,Medium,C2051892213,0,0,C534258368,372758,576040.47,0
371,PAYMENT,7203.18,Medium,C976395278,66015.9,,M1543812899,0,0,0
325,CASH_IN,70294.46,Medium,C311373428,4142896.86,4213191.32,C1401071901,421074.18,350779.72,0
500,TRANSFER,21832.43,Medium,C2086908548,21832.43,0,C418623592,0,,1
402,TRANSFER,438010.67,Medium,C898329254,0,0,C1503515997,883296.82,1321307.49,0
374,PAYMENT,4480.19,Medium,C231902141,260955.18,256474.99,M1755438641,0,0,0
305,TRANSFER,1754597.44,Medium,C276718485,1754597.44,0,C1947776397,0,0,1
658,CASH_OUT,24522.52,Medium,C1046356419,24522.52,0,C1603948163,155677.01,180199.53,1
250,PAYMENT,1023.68,Low,C62552689,0,0,M1105905099,0,0,0
588,CASH_IN,9639.15,Medium,C1463625764,10548,20187.15,C296149618,318930.15,,0
43,CASH_OUT,281012.92,Medium,C101573723,0,0,C608737832,692646.89,973659.81,0
403,PAYMENT,8444.09,Medium,C48070551,443403.47,434959.38,M1013588846,0,0,0
331,PAYMENT,20305.29,Medium,C866747332,14466.65,0,M773904327,0,0,0
305,TRANSFER,456930.88,Medium,C71043059,456930.88,0,C1737929512,0,0,1
56,TRANSFER,136562.78,Medium,C1391703729,136562.78,0,C1707583711,0,0,1
325,CASH_OUT,230376.5,Medium,C1395406921,110178,0,C1393683625,0,230376.5,0
420,TRANSFER,500905.62,Medium,C1104187360,500905.62,,C822141064,,0,1
199,CASH_OUT,590229.26,Medium,C1286314834,590229.26,0,C333643988,236890.65,827119.91,1
404,PAYMENT,5723.77,Medium,C1632619028,,0,M930999796,0,0,0
309,CASH_IN,255842.73,Medium,C620092297,15072972.24,15328814.97,C1060810989,2119984.66,1864141.93,0
214,PAYMENT,11862.63,Medium,C193849216,42263.82,30401.2,M130254132,0,0,0
629,CASH_OUT,547672.2,Medium,C969404866,547672.2,0,C1342571272,241648.88,789321.08,1
229,CASH_IN,87937.41,Medium,C1229003233,119631,,C1003492424,568741.81,480804.39,0
256,PAYMENT,28522.02,Medium,C284409404,163703.01,135180.99,M601718957,0,0,0
181,PAYMENT,5240.81,Medium,C2031006572,19985,14744.19,M826896644,0,0,0
406,CASH_OUT,4160888.06,High,C1407865578,4160888.06,0,C94243065,367689.67,4528577.73,1
160,CASH_OUT,540343.05,Medium,C622454469,0,0,C552286291,2996105.82,3536448.87,0
262,CASH_OUT,57107.9,Medium,C1534818295,0,0,C1531448466,5705682.03,5762789.94,0
322,CASH_IN,10980.84,Medium,C299879426,10245204.2,10256185.03,C884358961,,1384016.47,0
161,CASH_OUT,467936.57,Medium,C1304627839,0,0,C2114819747,1938907.8,2406844.38,0
283,PAYMENT,36514.49,Medium,C1223631201,60337.39,23822.91,M1944498958,0,0,0
274,PAYMENT,,,C2041667520,94381.34,81514.17,M1911019288,0,0,0
692,PAYMENT,18444.72,Medium,C1237035143,2498,0,M973272708,0,0,0
61,CASH_OUT,55062.46,Medium,C983142202,55062.46,0,C204026282,0,55062.46,1
9,CASH_OUT,,,C194614524,30561,0,C1387460501,0,,0
13,CASH_OUT,403341.08,Medium,C2123723374,0,0,C1733153973,598267.82,,0
259,TRANSFER,248071.56,Medium,C1429503291,248071.56,0,C1044014885,0,0,1
534,TRANSFER,136245.39,Medium,C98283050,136245.39,0,C1232672480,0,0,1
232,PAYMENT,4909.04,Medium,C649146245,0,0,M485907753,0,0,0
237,PAYMENT,6954.02,Medium,C1063640116,176660,169705.98,M309916323,0,0,0
514,TRANSFER,10880.26,Medium,C132837208,,0,C457634395,0,0,1
346,PAYMENT,3251.92,Medium,C739360928,0,0,M548647320,0,0,0
398,PAYMENT,6817.78,Medium,C529281236,66893,60075.22,M971033390,0,0,0
716,TRANSFER,1897921.7,Medium,C860413679,1897921.7,0,C1253519573,0,0,1
441,CASH_OUT,739856.92,Medium,C199105956,739856.92,0,C695036887,0,739856.92,1
399,CASH_OUT,327088.56,Medium,C1146265228,31909,0,C1599186597,410058.95,737147.51,0
